epoch,index,firing_time,production,rewarded_time,delivered_reward,passed_time,received_reward,:u,rule,:activation,:u-CHECK-PASS,:u-DONT-CHECK,motivation,at
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,CIRCLE-LEFT,2.058737,0.35999998,0.20640002,1,0.05
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,SQUARE-RIGHT,5.258906,0.35999998,0.20640002,1,0.05
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,CIRCLE-LEFT,2.058737,0.35999998,0.20640002,1,0.05
0,0,0.825,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,SQUARE-RIGHT,5.258906,0.35999998,0.20640002,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,CIRCLE-LEFT,2.058737,0.35999998,0.20640002,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.807,0.19299999999999995,0.20832,SQUARE-RIGHT,5.258906,0.35999998,0.20640002,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,CIRCLE-LEFT,2.058737,0.35999998,0.20640002,1,0.05
0,0,1.037,DONT-PROCESS-LOCATION,1.582,1.0,0.595,0.405,0.20832,SQUARE-RIGHT,5.258906,0.35999998,0.20640002,1,0.05
0,0,0.775,DONT-PROCESS-SHAPE,1.582,1.0,0.857,0.14300000000000002,0.057200003,CIRCLE-LEFT,2.058737,0.35999998,0.20640002,1,0.05
0,0,0.775,DONT-PROCESS-SHAPE,1.582,1.0,0.857,0.14300000000000002,0.057200003,SQUARE-RIGHT,5.258906,0.35999998,0.20640002,1,0.05
0,0,0.987,PROCESS-SHAPE,1.582,1.0,0.645,0.355,0.142,CIRCLE-LEFT,2.058737,0.35999998,0.20640002,1,0.05
0,0,0.987,PROCESS-SHAPE,1.582,1.0,0.645,0.355,0.142,SQUARE-RIGHT,5.258906,0.35999998,0.20640002,1,0.05
0,1,2.407,PROCESS-LOCATION,2.831,1.0,0.474,0.526,0.21040002,SQUARE-RIGHT,1.0054629,0.48799998,0.20640002,1,0.05
